"ID","worktype","composer","display title",
"mc000216","musical composition","Bach, J. S.","Fugue in C major, Well-Tempered Clavier, Book I",
"mc000288","musical composition","Bach, J. S.","Fugue in C major, Well-Tempered Clavier, Book II",
"mc000219","musical composition","Bach, J. S.","Fugue in C minor, Well-Tempered Clavier, Book I",
"mc000291","musical composition","Bach, J. S.","Fugue in C minor, Well-Tempered Clavier, Book II",
"mc000222","musical composition","Bach, J. S.","Fugue in C# major, Well-Tempered Clavier, Book I",
"mc000294","musical composition","Bach, J. S.","Fugue in C# major, Well-Tempered Clavier, Book II",
"mc000225","musical composition","Bach, J. S.","Fugue in C# minor, Well-Tempered Clavier, Book I",
"mc000297","musical composition","Bach, J. S.","Fugue in C# minor, Well-Tempered Clavier, Book II",
"mc000228","musical composition","Bach, J. S.","Fugue in D major, Well-Tempered Clavier, Book I",
"mc000300","musical composition","Bach, J. S.","Fugue in D major, Well-Tempered Clavier, Book II",
"mc000231","musical composition","Bach, J. S.","Fugue in D minor, Well-Tempered Clavier, Book I",
"mc000303","musical composition","Bach, J. S.","Fugue in D minor, Well-Tempered Clavier, Book II",
"mc000237","musical composition","Bach, J. S.","Fugue in D# minor, Well-Tempered Clavier, Book I",
"mc000309","musical composition","Bach, J. S.","Fugue in D# minor, Well-Tempered Clavier, Book II",
"mc000240","musical composition","Bach, J. S.","Fugue in E major, Well-Tempered Clavier, Book I",
"mc000312","musical composition","Bach, J. S.","Fugue in E major, Well-Tempered Clavier, Book II",
"mc000243","musical composition","Bach, J. S.","Fugue in E minor, Well-Tempered Clavier, Book I",
"mc000315","musical composition","Bach, J. S.","Fugue in E minor, Well-Tempered Clavier, Book II",
"mc000234","musical composition","Bach, J. S.","Fugue in Eb major, Well-Tempered Clavier, Book I",
"mc000306","musical composition","Bach, J. S.","Fugue in Eb major, Well-Tempered Clavier, Book II",
"mc000246","musical composition","Bach, J. S.","Fugue in F major, Well-Tempered Clavier, Book I",
"mc000318","musical composition","Bach, J. S.","Fugue in F major, Well-Tempered Clavier, Book II",
"mc000249","musical composition","Bach, J. S.","Fugue in F minor, Well-Tempered Clavier, Book I",
"mc000321","musical composition","Bach, J. S.","Fugue in F minor, Well-Tempered Clavier, Book II",
"mc000252","musical composition","Bach, J. S.","Fugue in F# major, Well-Tempered Clavier, Book I",
"mc000324","musical composition","Bach, J. S.","Fugue in F# major, Well-Tempered Clavier, Book II",
"mc000255","musical composition","Bach, J. S.","Fugue in F# minor, Well-Tempered Clavier, Book I",
"mc000327","musical composition","Bach, J. S.","Fugue in F# minor, Well-Tempered Clavier, Book II",
"mc000258","musical composition","Bach, J. S.","Fugue in G major, Well-Tempered Clavier, Book I",
"mc000330","musical composition","Bach, J. S.","Fugue in G major, Well-Tempered Clavier, Book II",
"mc000261","musical composition","Bach, J. S.","Fugue in G minor, Well-Tempered Clavier, Book I",
"mc000333","musical composition","Bach, J. S.","Fugue in G minor, Well-Tempered Clavier, Book II",
"mc000267","musical composition","Bach, J. S.","Fugue in G# minor, Well-Tempered Clavier, Book I",
